Site,State,Date,Year,SolarDay,Period,EC,Number,Taxa,Mass
Rachel Carson,ME,8/20/2014,2014,242,4,excolsure,3,Amphipod,0.003
Rachel Carson,ME,8/20/2014,2014,242,4,control,3,Amphipod,0.008
Chapman,NH,8/20/2014,2014,242,4,excolsure,2,Amphipod,0.002
Chapman,NH,8/20/2014,2014,242,4,control,2,Amphipod,0.001
Chapman,NH,8/20/2014,2014,242,4,excolsure,3,Amphipod,0.003
Chapman,NH,8/20/2014,2014,242,4,control,3,Amphipod,0.002
Chapman,NH,8/20/2014,2014,242,4,excolsure,1,Amphipod,0.001
Chapman,NH,8/20/2014,2014,242,4,control,1,Amphipod,0
Sachuest,RI,8/22/2014,2014,244,4,excolsure,3,Amphipod,0.003
Sachuest,RI,8/22/2014,2014,244,4,control,3,Amphipod,0.075
Forsythe,NJ,8/25/2014,2014,247,4,excolsure,2,Amphipod,0.011
Forsythe,NJ,8/25/2014,2014,247,4,control,2,Amphipod,0.002
Forsythe,NJ,8/25/2014,2014,247,4,excolsure,3,Amphipod,0.003
Forsythe,NJ,8/25/2014,2014,247,4,control,3,Amphipod,0.004
Forsythe,NJ,8/25/2014,2014,247,4,excolsure,1,Amphipod,0.001
Forsythe,NJ,8/25/2014,2014,247,4,control,1,Amphipod,0
Barn Island,CT,8/26/2014,2014,248,4,excolsure,2,Amphipod,0.049
Barn Island,CT,8/26/2014,2014,248,4,control,1,Amphipod,0.163
Barn Island,CT,8/26/2014,2014,248,4,excolsure,3,Amphipod,0.077
Hammo,CT,8/26/2014,2014,248,4,excolsure,2,Amphipod,0.003
Hammo,CT,8/26/2014,2014,248,4,control,2,Amphipod,0.002
Hammo,CT,8/26/2014,2014,248,4,excolsure,3,Amphipod,0.002
Hammo,CT,8/26/2014,2014,248,4,control,3,Amphipod,0.003
Hammo,CT,8/26/2014,2014,248,4,excolsure,1,Amphipod,0.001
Hammo,CT,8/26/2014,2014,248,4,control,1,Amphipod,0.001
Barn Island,CT,8/26/2014,2014,248,4,excolsure,2,Amphipod,0.017
Barn Island,CT,8/26/2014,2014,248,4,control,2,Amphipod,0.117
Sachuest,RI,8/27/2014,2014,249,4,excolsure,2,Amphipod,0.022
Sachuest,RI,8/27/2014,2014,249,4,control,2,Amphipod,0.03
Sachuest,RI,8/27/2014,2014,249,4,excolsure,1,Amphipod,0.045
Sachuest,RI,8/27/2014,2014,249,4,control,1,Amphipod,0.037
Bunny,ME,5/18/2015,2015,148,1,excolsure,1,Amphipod,0
Bunny,ME,5/18/2015,2015,148,1,control,1,Amphipod,0
Bunny,ME,5/18/2015,2015,148,1,excolsure,2,Amphipod,0
Bunny,ME,5/18/2015,2015,148,1,control,2,Amphipod,0
Bunny,ME,5/18/2015,2015,148,1,excolsure,3,Amphipod,0
Bunny,ME,5/18/2015,2015,148,1,control,3,Amphipod,0
Chapman,NH,5/21/2015,2015,151,1,excolsure,1,Amphipod,0
Chapman,ME,5/21/2015,2015,151,1,control,1,Amphipod,0
Chapman,ME,5/21/2015,2015,151,1,excolsure,2,Amphipod,0.032
Chapman,ME,5/21/2015,2015,151,1,control,2,Amphipod,0.006
Chapman,NH,5/21/2015,2015,151,1,excolsure,3,Amphipod,0
Chapman,NH,5/21/2015,2015,151,1,control,3,Amphipod,0
Rachel Carson,ME,5/22/2015,2015,152,1,excolsure,1,Amphipod,0
Rachel Carson,ME,5/22/2015,2015,152,1,control,1,Amphipod,0
Rachel Carson,ME,5/22/2015,2015,152,1,excolsure,2,Amphipod,0.001
Rachel Carson,ME,5/22/2015,2015,152,1,control,2,Amphipod,0.003
Rachel Carson,ME,5/22/2015,2015,152,1,excolsure,3,Amphipod,0.001
Rachel Carson,ME,5/22/2015,2015,152,1,control,3,Amphipod,0.003
Asparagus,ME,5/27/2015,2015,157,1,excolsure,1,Amphipod,0
Asparagus,ME,5/27/2015,2015,157,1,control,1,Amphipod,0.018
Asparagus,ME,5/27/2015,2015,157,1,excolsure,2,Amphipod,0.035
Asparagus,ME,5/27/2015,2015,157,1,control,2,Amphipod,0
Asparagus,ME,5/27/2015,2015,157,1,excolsure,3,Amphipod,0.016
Asparagus,ME,5/27/2015,2015,157,1,control,3,Amphipod,0.022
Hammo,CT,6/3/2015,2015,164,1,excolsure,1,Amphipod,0.012
Hammo,CT,6/3/2015,2015,164,1,control,1,Amphipod,0
Hammo,CT,6/3/2015,2015,164,1,excolsure,2,Amphipod,0.022
Hammo,CT,6/3/2015,2015,164,1,control,2,Amphipod,0
Hammo,CT,6/3/2015,2015,164,1,excolsure,3,Amphipod,0.006
Hammo,CT,6/3/2015,2015,164,1,control,3,Amphipod,0
Barn Island,CT,6/4/2015,2015,165,1,excolsure,1,Amphipod,0.091
Barn Island,CT,6/4/2015,2015,165,1,control,1,Amphipod,0.104
Barn Island,CT,6/4/2015,2015,165,1,excolsure,2,Amphipod,0.124
Barn Island,CT,6/4/2015,2015,165,1,control,2,Amphipod,0.062
Barn Island,CT,6/4/2015,2015,165,1,excolsure,3,Amphipod,0.105
Barn Island,CT,6/4/2015,2015,165,1,control,3,Amphipod,0.152
Sachuest,RI,6/5/2015,2015,166,1,excolsure,1,Amphipod,0.006
Sachuest,RI,6/5/2015,2015,166,1,control,1,Amphipod,0.089
Sachuest,RI,6/5/2015,2015,166,1,excolsure,2,Amphipod,0.001
Sachuest,RI,6/5/2015,2015,166,1,control,2,Amphipod,0.015
Sachuest,RI,6/5/2015,2015,166,1,excolsure,3,Amphipod,0
Sachuest,RI,6/5/2015,2015,166,1,control,3,Amphipod,0.076
Forsythe,NJ,6/10/2015,2015,171,1,excolsure,1,Amphipod,0.002
Forsythe,NJ,6/10/2015,2015,171,1,control,1,Amphipod,0
Forsythe,NJ,6/10/2015,2015,171,1,excolsure,2,Amphipod,0
Forsythe,NJ,6/10/2015,2015,171,1,control,2,Amphipod,0
Forsythe,NJ,6/10/2015,2015,171,1,excolsure,3,Amphipod,0
Forsythe,NJ,6/10/2015,2015,171,1,control,3,Amphipod,0
Rachel Carson,ME,6/24/2015,2015,185,2,excolsure,1,Amphipod,0.001
Rachel Carson,ME,6/24/2015,2015,185,2,control,1,Amphipod,0.001
Rachel Carson,ME,6/24/2015,2015,185,2,excolsure,2,Amphipod,0.001
Rachel Carson,ME,6/24/2015,2015,185,2,control,2,Amphipod,0.001
Chapman,NH,6/24/2015,2015,185,2,excolsure,2,Amphipod,0.009
Chapman,NH,6/24/2015,2015,185,2,control,2,Amphipod,0.003
Chapman,NH,6/24/2015,2015,185,2,excolsure,3,Amphipod,0.004
Chapman,NH,6/24/2015,2015,185,2,control,3,Amphipod,0.004
Chapman,NH,6/24/2015,2015,185,2,excolsure,1,Amphipod,0.003
Chapman,NH,6/24/2015,2015,185,2,control,1,Amphipod,0.007
Asparagus,ME,6/25/2015,2015,186,2,excolsure,1,Amphipod,0.002
Asparagus,ME,6/25/2015,2015,186,2,control,1,Amphipod,0.001
Asparagus,ME,6/25/2015,2015,186,2,excolsure,2,Amphipod,0.001
Asparagus,ME,6/25/2015,2015,186,2,control,2,Amphipod,0.008
Bunny,ME,6/25/2015,2015,186,2,excolsure,1,Amphipod,0.001
Bunny,ME,6/25/2015,2015,186,2,control,1,Amphipod,0.001
Bunny,ME,6/25/2015,2015,186,2,excolsure,2,Amphipod,0.004
Bunny,ME,6/25/2015,2015,186,2,control,2,Amphipod,0
Bunny,ME,6/25/2015,2015,186,2,excolsure,3,Amphipod,0
Bunny,ME,6/25/2015,2015,186,2,control,3,Amphipod,0
Asparagus,ME,6/25/2015,2015,186,2,excolsure,3,Amphipod,0.013
Asparagus,ME,6/25/2015,2015,186,2,control,3,Amphipod,0.002
Barn Island,CT,6/29/2015,2015,190,2,excolsure,1,Amphipod,0.043
Barn Island,CT,6/29/2015,2015,190,2,control,1,Amphipod,0.068
Barn Island,CT,6/29/2015,2015,190,2,excolsure,2,Amphipod,0.065
Barn Island,CT,6/29/2015,2015,190,2,control,2,Amphipod,0.078
Sachuest,RI,6/29/2015,2015,190,2,excolsure,1,Amphipod,0.004
Sachuest,RI,6/29/2015,2015,190,2,control,1,Amphipod,0.001
Sachuest,RI,6/29/2015,2015,190,2,excolsure,2,Amphipod,0.006
Sachuest,RI,6/29/2015,2015,190,2,control,2,Amphipod,0.001
Rachel Carson,ME,6/29/2015,2015,190,2,excolsure,3,Amphipod,0.002
Rachel Carson,ME,6/29/2015,2015,190,2,control,3,Amphipod,0.001
Sachuest,RI,6/29/2015,2015,190,2,excolsure,3,Amphipod,0.006
Sachuest,RI,6/29/2015,2015,190,2,control,3,Amphipod,0.001
Barn Island,CT,6/29/2015,2015,190,2,excolsure,3,Amphipod,0.126
Barn Island,CT,6/29/2015,2015,190,2,control,3,Amphipod,0.061
Hammo,CT,6/30/2015,2015,191,2,excolsure,1,Amphipod,0.004
Hammo,CT,6/30/2015,2015,191,2,control,1,Amphipod,0.004
Hammo,CT,6/30/2015,2015,191,2,excolsure,2,Amphipod,0.005
Hammo,CT,6/30/2015,2015,191,2,control,2,Amphipod,0.002
Forsythe,NJ,6/30/2015,2015,191,2,excolsure,1,Amphipod,0.001
Forsythe,NJ,6/30/2015,2015,191,2,control,1,Amphipod,0.001
Forsythe,NJ,6/30/2015,2015,191,2,excolsure,2,Amphipod,0.001
Forsythe,NJ,6/30/2015,2015,191,2,control,2,Amphipod,0.001
Hammo,CT,6/30/2015,2015,191,2,excolsure,3,Amphipod,0.008
Hammo,CT,6/30/2015,2015,191,2,control,3,Amphipod,0.001
Forsythe,NJ,6/30/2015,2015,191,2,excolsure,3,Amphipod,0
Forsythe,NJ,6/30/2015,2015,191,2,control,3,Amphipod,0
Chapman,NH,7/21/2015,2015,212,3,excolsure,1,Amphipod,0.005
Chapman,NH,7/21/2015,2015,212,3,control,1,Amphipod,0.003
Chapman,NH,7/21/2015,2015,212,3,excolsure,3,Amphipod,0.003
Chapman,NH,7/21/2015,2015,212,3,control,3,Amphipod,0.004
Rachel Carson,ME,7/21/2015,2015,212,3,excolsure,2,Amphipod,0.003
Rachel Carson,ME,7/21/2015,2015,212,3,control,2,Amphipod,0.003
Rachel Carson,ME,7/21/2015,2015,212,3,excolsure,3,Amphipod,0.002
Rachel Carson,ME,7/21/2015,2015,212,3,control,3,Amphipod,0.004
Chapman,NH,7/21/2015,2015,212,3,excolsure,2,Amphipod,0.022
Chapman,NH,7/21/2015,2015,212,3,control,2,Amphipod,0.005
Rachel Carson,ME,7/21/2015,2015,212,3,excolsure,1,Amphipod,0.001
Rachel Carson,ME,7/21/2015,2015,212,3,control,1,Amphipod,0.001
Asparagus,ME,7/22/2015,2015,213,3,excolsure,1,Amphipod,0.009
Asparagus,ME,7/22/2015,2015,213,3,control,1,Amphipod,0.001
Asparagus,ME,7/22/2015,2015,213,3,excolsure,2,Amphipod,0.009
Asparagus,ME,7/22/2015,2015,213,3,control,2,Amphipod,0.01
Bunny,ME,7/22/2015,2015,213,3,excolsure,2,Amphipod,0
Bunny,ME,7/22/2015,2015,213,3,control,2,Amphipod,0.001
Bunny,ME,7/22/2015,2015,213,3,excolsure,3,Amphipod,0.001
Bunny,ME,7/22/2015,2015,213,3,control,3,Amphipod,0.001
Asparagus,ME,7/22/2015,2015,213,3,excolsure,3,Amphipod,0.025
Asparagus,ME,7/22/2015,2015,213,3,control,3,Amphipod,0.011
Bunny,ME,7/22/2015,2015,213,3,excolsure,1,Amphipod,0.002
Bunny,ME,7/22/2015,2015,213,3,control,1,Amphipod,0.002
Barn Island,CT,7/28/2015,2015,219,3,excolsure,1,Amphipod,0.122
Barn Island,CT,7/28/2015,2015,219,3,control,1,Amphipod,0.133
Barn Island,CT,7/28/2015,2015,219,3,excolsure,3,Amphipod,0.15
Barn Island,CT,7/28/2015,2015,219,3,control,3,Amphipod,0.093
Sachuest,RI,7/28/2015,2015,219,3,excolsure,2,Amphipod,0.012
Sachuest,RI,7/28/2015,2015,219,3,control,2,Amphipod,0.006
Sachuest,RI,7/28/2015,2015,219,3,excolsure,3,Amphipod,0.032
Sachuest,RI,7/28/2015,2015,219,3,control,3,Amphipod,0.009
Sachuest,RI,7/28/2015,2015,219,3,excolsure,1,Amphipod,0.008
Sachuest,RI,7/28/2015,2015,219,3,control,1,Amphipod,0.017
Barn Island,CT,7/28/2015,2015,219,3,excolsure,2,Amphipod,0.147
Barn Island,CT,7/28/2015,2015,219,3,control,2,Amphipod,0.147
Forsythe,NJ,7/29/2015,2015,220,3,excolsure,1,Amphipod,0.002
Forsythe,NJ,7/29/2015,2015,220,3,control,1,Amphipod,0
Forsythe,NJ,7/29/2015,2015,220,3,excolsure,2,Amphipod,0.001
Forsythe,NJ,7/29/2015,2015,220,3,control,2,Amphipod,0.001
Hammo,CT,7/29/2015,2015,220,3,excolsure,2,Amphipod,0.038
Hammo,CT,7/29/2015,2015,220,3,control,2,Amphipod,0.012
